Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Promotions,Reviews,Monthly_Revenue
61,43.11763549,12.66379252,Japanese,36.23613252,0,45,350.91204
24,40.02007699,4.577892097,Italian,17.95256244,0,36,221.3190913
81,41.98148524,4.652910771,Japanese,22.60042029,1,91,326.5297629
70,43.00530707,4.416052596,Italian,18.9840976,1,59,348.1905731
30,17.45619947,3.475051913,Italian,12.76614271,1,30,185.0091206
92,19.42766984,13.11447345,American,43.09994967,1,10,399.8675067
96,35.35034255,16.9603177,American,20.18162172,0,86,496.6536867
84,46.31464522,14.48634939,Italian,28.92110013,1,1,417.1586067
84,22.64786329,15.84187268,American,11.73261093,0,26,352.1480652
97,33.53226703,8.095968582,Italian,37.97357865,0,98,272.7935168
33,37.31928254,13.08151591,Mexican,23.22244009,0,1,318.7732089
12,28.07794405,7.084724809,American,39.78946911,0,20,189.2388689
31,38.55129819,10.51009244,American,26.49612242,0,57,218.4735501
62,45.98669781,9.632696931,American,17.83022426,0,4,308.9711494
11,34.96406177,3.537742903,Mexican,30.52700329,0,51,117.1533293
97,31.59124248,7.741575207,Italian,15.22018239,1,44,292.7543309
39,27.54978702,19.27644551,Japanese,27.62156639,0,84,252.5846616
47,33.09945084,4.971605154,American,22.6922191,1,92,182.9190408
11,24.21449807,2.676074726,Italian,46.47838337,1,19,60.37322071
73,25.65928441,8.371612432,Mexican,12.43714887,0,60,301.1840968
69,31.27429919,15.80675472,Japanese,37.76069656,0,37,294.335597
30,12.6647645,11.6429646,American,17.31004664,1,19,276.4921286
42,19.16101564,13.61949654,Mexican,22.76180297,1,24,308.198028
85,31.71397242,3.793896963,Mexican,26.62056252,1,1,267.4949482
67,27.26112573,12.37896386,Japanese,46.32060357,1,31,368.3336437
31,23.31263144,6.470007898,Italian,19.70313064,0,25,165.8841612
98,39.22196547,16.68606732,American,13.6523521,0,69,494.2657908
58,37.7487043,12.58597612,American,22.74758416,0,40,273.3665072
68,16.6692304,3.977125556,Italian,14.18703882,1,66,345.2649163
51,45.14516461,1.292333597,Italian,15.14385944,0,96,255.775191
69,29.81694506,0.852664186,Italian,32.95402392,1,0,203.9593522
89,39.65843645,7.428171353,Japanese,12.43607732,0,50,442.8549585
24,32.92603397,5.317022733,Japanese,11.23723526,1,4,178.3033493
71,49.90770464,12.92180247,American,38.57656406,0,12,485.2402706
71,40.0961248,9.9866767,Japanese,24.46588379,0,18,262.1708567
56,38.27921845,5.32038556,Mexican,15.01501397,1,11,343.6727362
71,41.14287756,2.984755559,American,20.14451083,1,47,309.3590956
60,15.72511942,2.543995254,Japanese,35.68346029,1,24,268.8777339
64,18.18178373,17.29320784,Italian,21.02146269,1,56,249.757181
73,38.56256329,4.869559368,Mexican,29.780845,1,34,304.3846129
12,29.75925949,13.03421296,Italian,14.86781227,0,75,116.7904526
60,40.18541167,16.21371856,American,33.5237455,1,93,305.9655992
16,14.11664123,12.28162622,Italian,22.64310735,0,4,138.2032058
30,31.45925406,17.19130463,Japanese,35.07873738,0,97,277.2829196
82,25.15286262,7.847874431,Japanese,42.33579529,0,21,415.4999787
48,28.28000877,19.12444381,American,34.46585678,0,76,324.8181694
27,34.15831488,2.662900084,Italian,21.8299025,0,56,218.4098265
13,30.0915339,2.042990593,American,20.22974806,1,46,142.2740039
98,31.59442548,13.17384292,Italian,23.09683835,1,53,362.5184822
69,29.45429928,18.85662283,Mexican,16.58482053,0,2,433.9088069
23,26.35820708,16.17766923,Japanese,17.24687403,0,52,220.8440634
18,40.87527922,1.528337189,American,41.62764408,1,83,155.9520951
99,10.48812289,5.587354279,Mexican,25.38930306,1,30,433.1772878
62,33.93770805,18.6063777,Mexican,27.43980722,0,68,345.1718044
